HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM6.hmm	138	AMN69_RS19175	462	8.7e-21	18	137	338	461	0.8623188405797102
GH2.hmm	752	AMN69_RS19180	786	2.4e-118	24	525	22	598	0.6662234042553191
GH2.hmm	752	AMN69_RS19185	950	8.1e-60	23	465	23	645	0.5877659574468085
GH97.hmm	631	AMN69_RS19190	659	9.1e-147	5	628	3	656	0.9873217115689382
GH146.hmm	503	AMN69_RS19200	802	2.6e-195	1	502	36	546	0.9960238568588469
GH31_4.hmm	435	AMN69_RS19205	862	2.3e-165	2	435	324	753	0.9954022988505747
GH2.hmm	752	AMN69_RS19210	855	1e-125	15	543	23	731	0.7021276595744681
GH31_4.hmm	435	AMN69_RS19215	806	1.7e-164	1	435	206	704	0.9977011494252873
GH29.hmm	346	AMN69_RS19220	705	1.1e-78	41	334	38	347	0.846820809248555
CBM32.hmm	124	AMN69_RS19220	705	1.5e-18	17	122	583	699	0.8467741935483871
GH43_35.hmm	294	AMN69_RS19225	657	1.3e-114	1	294	9	346	0.9965986394557823
GH43_9.hmm	272	AMN69_RS19240	511	1.6e-119	3	272	38	305	0.9889705882352942
GH27.hmm	229	AMN69_RS19245	451	1.2e-67	13	229	185	428	0.9432314410480349
GH10.hmm	303	AMN69_RS19255	688	1e-33	98	302	425	682	0.6732673267326733
GH31_4.hmm	435	AMN69_RS24440	812	5.6e-172	1	435	221	710	0.9977011494252873
GH115.hmm	697	AMN69_RS24445	985	2.2e-249	3	597	43	668	0.8522238163558106
GH2.hmm	752	AMN69_RS24455	790	4.6e-113	22	519	21	600	0.660904255319149
GH115.hmm	697	AMN69_RS24460	852	1.9e-275	2	697	36	827	0.9971305595408895
GH10.hmm	303	AMN69_RS24470	574	2.6e-23	92	266	321	541	0.5742574257425742
GH177.hmm	347	AMN69_RS24505	428	1.3e-45	2	288	44	308	0.8242074927953891
GH43_29.hmm	278	AMN69_RS24545	348	1.3e-104	1	278	17	307	0.9964028776978417
GH31_4.hmm	435	AMN69_RS24550	862	2.9e-166	1	434	320	749	0.9954022988505747
GH95.hmm	722	AMN69_RS24555	809	4e-286	4	713	22	744	0.981994459833795
GH29.hmm	346	AMN69_RS24570	695	5.8e-79	39	335	34	346	0.8554913294797688
CBM32.hmm	124	AMN69_RS24570	695	4.5e-16	19	120	576	687	0.8145161290322581
GH150.hmm	907	AMN69_RS26285	944	8.7e-297	5	906	23	940	0.9933847850055126
GH150.hmm	907	AMN69_RS26290	905	6.1e-231	14	903	38	903	0.980154355016538
GH2.hmm	752	AMN69_RS26310	782	6e-94	23	528	21	631	0.6715425531914894
GH110.hmm	548	AMN69_RS26360	627	1.5e-109	180	548	238	604	0.6715328467153284
GH43_9.hmm	272	AMN69_RS26820	511	1.3e-120	3	272	38	305	0.9889705882352942
GH29.hmm	346	AMN69_RS26830	492	3.4e-111	25	346	14	362	0.9277456647398844
GH43_35.hmm	294	AMN69_RS26835	703	8.2e-113	1	294	48	385	0.9965986394557823
GH2.hmm	752	AMN69_RS26840	791	3.5e-116	27	491	22	604	0.6170212765957447
GH27.hmm	229	AMN69_RS26845	597	7.7e-61	13	206	187	396	0.8427947598253275
GH3.hmm	216	AMN69_RS26850	841	7.3e-70	11	215	58	291	0.9444444444444444
GH43_29.hmm	278	AMN69_RS26855	837	2.4e-110	1	277	29	317	0.9928057553956835
CBM6.hmm	138	AMN69_RS26855	837	3.3e-24	18	136	341	463	0.855072463768116
CE1.hmm	227	AMN69_RS26855	837	1.8e-54	2	222	603	832	0.9691629955947136
GH43_29.hmm	278	AMN69_RS26860	459	8.2e-107	2	278	38	308	0.9928057553956835
CBM6.hmm	138	AMN69_RS26860	459	1.8e-23	18	138	332	458	0.8695652173913043
CE6.hmm	99	AMN69_RS26865	1101	4e-26	2	98	88	197	0.9696969696969697
GH95.hmm	722	AMN69_RS26865	1101	3.2e-289	5	712	286	1020	0.9792243767313019
GH43_10.hmm	271	AMN69_RS26870	533	6.1e-99	2	271	29	296	0.992619926199262
CBM91.hmm	200	AMN69_RS26870	533	1.1e-26	5	194	325	525	0.945
GH3.hmm	216	AMN69_RS26875	843	6.6e-66	5	215	53	292	0.9722222222222222
GH67.hmm	669	AMN69_RS26880	704	1.5e-264	72	665	77	669	0.8863976083707026
GH73.hmm	128	AMN69_RS27960	528	1.7e-32	2	128	12	144	0.984375
GH97.hmm	631	AMN69_RS30295	1180	4.3e-158	10	629	556	1177	0.9809825673534073
GH2.hmm	752	AMN69_RS30875	448	1.2e-54	464	751	18	329	0.3816489361702128
GH2.hmm	752	AMN69_RS30880	586	9.9e-153	17	464	41	578	0.5944148936170213
GH24.hmm	137	ARB24_RS20090	142	5.7e-38	2	136	4	134	0.9781021897810219
GT4.hmm	160	ARB54_RS18575	384	3.8e-33	11	159	208	353	0.925
GT4.hmm	160	ARB54_RS18585	384	2e-36	8	159	202	352	0.94375
GT4.hmm	160	ARB54_RS18595	396	2e-31	12	151	222	360	0.86875
GH97.hmm	631	ARB54_RS22710	709	1.7e-248	4	630	15	703	0.9920760697305864
GH97.hmm	631	ARB54_RS22715	665	4.5e-227	3	630	13	661	0.993660855784469
GH27.hmm	229	ARB54_RS22725	459	8.6e-28	13	229	162	416	0.9432314410480349
GT4.hmm	160	ARB54_RS24680	375	3.4e-28	11	155	202	345	0.9
GT2.hmm	170	ARB54_RS24705	295	3.3e-25	1	104	3	105	0.6058823529411764
GT4.hmm	160	ARB54_RS24710	383	1.7e-22	4	149	203	347	0.90625
GH110.hmm	548	AYT46_RS12040	555	6.9e-160	31	548	5	529	0.9434306569343066
GH95.hmm	722	AYT46_RS13275	832	2.9e-58	6	712	34	744	0.9778393351800554
GH29.hmm	346	AYT46_RS13295	483	2.9e-79	44	334	39	346	0.838150289017341
GH29.hmm	346	AYT46_RS13300	678	1.3e-77	37	334	26	337	0.8583815028901735
CBM32.hmm	124	AYT46_RS13300	678	8.6e-16	10	123	549	672	0.9112903225806451
GH20.hmm	337	AYT46_RS13310	538	8.6e-128	8	336	153	503	0.973293768545994
GH20.hmm	337	AYT46_RS25900	878	8.1e-125	8	336	153	503	0.973293768545994
GH29.hmm	346	AYT46_RS25900	878	4.3e-64	40	336	553	874	0.8554913294797688
GT2.hmm	170	BJP75_RS13220	233	1.3e-19	2	168	5	166	0.9764705882352941
GH20.hmm	337	BMY23_RS03875	663	2.5e-65	8	336	148	470	0.973293768545994
GH95.hmm	722	BMY23_RS03880	845	7.4e-61	6	713	33	766	0.9792243767313019
GT4.hmm	160	BMY23_RS16330	411	1.2e-18	6	149	232	377	0.89375
GH141.hmm	527	BMY23_RS17450	779	5.4e-54	2	523	21	535	0.9886148007590133
GT4.hmm	160	BMZ52_RS00010	441	3.6e-18	6	154	248	405	0.925
GT2.hmm	170	BMZ52_RS00015	322	4.3e-28	1	126	15	143	0.7352941176470589
GT4.hmm	160	BMZ52_RS00030	366	5.3e-20	12	150	184	329	0.8625
GT4.hmm	160	BMZ52_RS00035	384	3.2e-16	13	158	200	347	0.90625
GT4.hmm	160	BMZ52_RS00040	409	6.1e-19	13	156	226	373	0.89375
GT51.hmm	177	BMZ52_RS03455	245	3.7e-48	12	176	60	219	0.9265536723163842
GT4.hmm	160	BMZ52_RS23465	359	5.3e-35	7	157	176	327	0.9375
GT4.hmm	160	BMZ52_RS23475	332	1.4e-19	4	155	160	299	0.94375
GT2.hmm	170	BSIG_RS00565	335	1.4e-30	1	164	11	172	0.9588235294117647
GT4.hmm	160	BSIG_RS11125	355	3.2e-28	5	152	190	335	0.91875
GT11.hmm	276	BSIG_RS11150	307	1.7e-66	2	274	2	297	0.9855072463768116
GT4.hmm	160	BSIG_RS19440	388	3.1e-19	19	152	222	349	0.83125
GT4.hmm	160	C4S64_RS05410	356	8.7e-23	10	152	180	323	0.8875
GT4.hmm	160	C4S64_RS05415	397	1.7e-21	12	152	226	368	0.875
GT2.hmm	170	C4S64_RS05485	316	2.4e-22	2	132	10	140	0.7647058823529411
GH73.hmm	128	C4S64_RS26650	513	3.6e-31	5	128	15	144	0.9609375
GH3.hmm	216	C5Z03_RS26555	192	4.8e-35	106	216	1	117	0.5092592592592593
GT4.hmm	160	C799_RS03135	413	2.7e-22	8	159	225	381	0.94375
GH154.hmm	348	C799_RS08885	409	1.8e-107	1	345	26	383	0.9885057471264368
GH88.hmm	329	C799_RS08890	398	2.1e-120	3	329	66	390	0.9908814589665653
GH43_29.hmm	278	C799_RS08895	310	1.5e-104	1	278	23	297	0.9964028776978417
GH43_19.hmm	233	C799_RS08900	348	1.1e-79	2	233	83	323	0.9914163090128756
PL11_1.hmm	583	C799_RS08905	643	2.1e-149	17	573	55	639	0.9536878216123499
GH2.hmm	752	C799_RS08910	989	1.5e-67	27	446	22	500	0.5571808510638298
GH43_10.hmm	271	C799_RS08915	548	9e-103	1	271	39	311	0.996309963099631
CBM91.hmm	200	C799_RS08915	548	4.6e-22	4	199	345	546	0.975
CE12.hmm	210	C799_RS10560	427	2e-63	1	210	175	381	0.9952380952380953
GH2.hmm	752	C799_RS10565	997	8.9e-62	26	465	28	559	0.5837765957446809
GH43_12.hmm	281	C799_RS10570	541	1.3e-115	1	281	27	311	0.99644128113879
CBM91.hmm	200	C799_RS10570	541	2.5e-36	5	199	340	530	0.97
GH146.hmm	503	C799_RS10580	639	2.9e-188	2	503	50	552	0.9960238568588469
GH115.hmm	697	C799_RS10585	788	5.3e-190	11	697	37	776	0.9842180774748924
GT6.hmm	280	C799_RS15355	263	9.4e-56	44	259	2	213	0.7678571428571429
GT11.hmm	276	C799_RS15365	292	8.1e-71	2	276	2	290	0.9927536231884058
GH140.hmm	412	C799_RS16885	495	3.9e-176	1	412	36	462	0.9975728155339806
GT2.hmm	170	C799_RS18215	334	1.2e-32	1	129	4	135	0.7529411764705882
GT4.hmm	160	C799_RS20265	361	2e-21	4	157	180	332	0.95625
GT2.hmm	170	C799_RS20285	268	1.1e-35	1	144	7	148	0.8411764705882353
GT2.hmm	170	C799_RS20300	335	2.7e-29	1	159	7	168	0.9294117647058824
GT4.hmm	160	DW167_RS00070	372	9.6e-25	11	157	196	343	0.9125
GH3.hmm	216	DW167_RS06285	739	2.2e-57	2	216	100	323	0.9907407407407407
GH110.hmm	548	DW167_RS07005	687	2.9e-26	69	544	171	684	0.8667883211678832
GH97.hmm	631	DW167_RS07010	648	3.3e-129	6	630	16	644	0.9889064976228209
GH106.hmm	824	DW167_RS07015	991	3.1e-160	95	796	191	914	0.8507281553398058
GT4.hmm	160	DW640_RS02750	375	6.4e-28	10	155	183	329	0.90625
GT4.hmm	160	DW640_RS02755	365	3.6e-17	6	148	192	334	0.8875
GH3.hmm	216	DW697_RS00265	860	6.2e-61	3	214	108	328	0.9768518518518519
GT2.hmm	170	DWV24_RS21585	262	2.7e-30	1	129	4	131	0.7529411764705882
GT2.hmm	170	DWV24_RS21595	301	1.4e-19	1	169	4	188	0.9882352941176471
GT4.hmm	160	DWW05_RS01080	362	1.2e-26	7	157	176	329	0.9375
GT4.hmm	160	DWW05_RS01090	363	9.1e-20	7	147	181	322	0.875
GT4.hmm	160	DWW05_RS07585	406	2.7e-22	7	158	213	371	0.94375
GT2.hmm	170	DWW05_RS09680	299	8.3e-27	1	107	3	107	0.6235294117647059
GT32.hmm	90	DWW05_RS09685	245	5e-21	3	88	20	96	0.9444444444444444
GT2.hmm	170	DWW05_RS09690	326	1.1e-30	1	123	4	126	0.7176470588235294
GT2.hmm	170	DWW05_RS09695	334	9.7e-32	1	165	13	173	0.9647058823529412
GT4.hmm	160	DWW05_RS09705	359	5e-27	7	156	185	326	0.93125
GT2.hmm	170	DWW05_RS09710	252	3.4e-40	1	131	7	135	0.7647058823529411
GT4.hmm	160	DWW05_RS20790	388	2.9e-35	5	150	202	344	0.90625
GT2.hmm	170	DWW05_RS20795	264	1.6e-35	1	164	4	158	0.9588235294117647
GT4.hmm	160	DWW05_RS20820	387	4.9e-21	7	151	202	348	0.9
GT2.hmm	170	DWW05_RS20835	333	8.1e-33	5	113	11	118	0.6352941176470588
GT2.hmm	170	DWW05_RS24320	324	5.2e-34	1	128	7	134	0.7470588235294118
GH36.hmm	688	DWY18_RS01070	719	3.3e-209	2	687	26	701	0.9956395348837209
GH43_10.hmm	271	DWY18_RS01075	515	4.1e-98	2	271	37	295	0.992619926199262
CBM91.hmm	200	DWY18_RS01075	515	4.8e-29	6	197	331	512	0.955
GH3.hmm	216	DWY18_RS01085	760	4e-65	4	214	104	323	0.9722222222222222
GH29.hmm	346	DWY18_RS01090	505	8.2e-70	45	337	37	341	0.8439306358381503
GH2.hmm	752	DWY18_RS01095	988	6e-88	43	579	61	757	0.7127659574468085
CBM32.hmm	124	DWY18_RS01095	988	3.4e-23	12	122	736	844	0.8870967741935484
GT2.hmm	170	DWY18_RS01160	333	9.4e-35	1	132	9	143	0.7705882352941177
GT14.hmm	250	DWY18_RS01170	289	8.8e-53	2	245	4	256	0.972
GT14.hmm	250	DWY18_RS01175	293	1.4e-37	2	242	9	250	0.96
GT8.hmm	257	DWY18_RS01185	322	6.9e-46	21	255	7	262	0.9105058365758755
GT2.hmm	170	DWY18_RS01200	316	1.6e-25	1	118	12	127	0.6882352941176471
GT2.hmm	170	DWY18_RS01245	324	3.2e-19	1	132	9	144	0.7705882352941177
GH92.hmm	491	DWY18_RS01610	898	5.8e-160	2	491	410	891	0.9959266802443992
GH76.hmm	358	DWY18_RS01615	397	1.7e-40	69	263	100	311	0.5418994413407822
GH115.hmm	697	DWY18_RS01660	790	2.7e-246	4	697	26	777	0.994261119081779
GH105.hmm	332	DWY18_RS01710	983	1.9e-81	10	332	50	367	0.9698795180722891
PL33_2.hmm	151	DWY18_RS01710	983	2.5e-43	2	149	772	920	0.9735099337748344
GH31_14.hmm	426	DWY18_RS02270	713	1.2e-182	1	425	202	631	0.9953051643192489
GH92.hmm	491	DWY18_RS02500	736	6.5e-192	3	491	237	730	0.9938900203665988
